Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,143195,-,-,-,37.37,-122.02,-8,33,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,0,30,0,0,0,8.8,20,1023,69,98,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,1,30,0,0,0,8.8,20,1023,69,115,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,2,30,0,0,0,8.700000000000000,20,1023,69,123,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,3,30,0,0,0,8.4,20,1022,69,125,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,4,30,0,0,0,8.200000000000000,20,1022,69,124,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,5,30,0,0,0,7.800000000000000,20,1022,69,121,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,6,30,0,0,0,7.5,20,1021,69,125,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,7,30,71,9,10,7,20,1022,69,134,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,8,30,499,49,139,7.2,20,1022,69,153,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,9,30,676,69,287,8.200000000000000,20,1023,69,187,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,10,30,756,80,402,8.8,20,1023,69,224,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,11,30,787,86,468,9.200000000000000,20,1023,69,250,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,12,30,786,88,478,9.600000000000000,20,1022,69,172,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,13,30,767,83,434,9.700000000000000,20,1021,69,84,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,14,30,718,71,338,9.9,20,1020,69,90,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,1,3,15,30,596,56,202,9.9,20,1020,69,94,2.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
